output_0,output_1,output_2,output_3,output_4
2.3119504,3.188675,2.8359807,3.0046513,2.1460888
4.2306366,5.1105766,5.0841694,5.006022,5.019623
3.55197,3.314654,3.6520495,3.5799522,3.60988
4.933213,4.7387257,5.0758305,4.8920984,4.9940042
1.7683876,2.3296466,1.9542533,2.5205781,2.1193871
6.335495,6.5046854,6.39816,6.123515,6.7492
4.8618507,5.083867,5.093444,4.643177,4.940734
2.031595,2.2184129,2.1871634,2.217468,2.0133412
5.2908077,5.317275,5.198619,5.4056005,4.4181747
6.502599,6.593297,6.4237733,6.532605,6.8498354
1.6053884,1.6122618,1.6441492,1.6659182,1.693504
8.6010895,8.352797,7.570164,8.571714,8.077011
2.2965105,2.520295,2.4016473,2.4158032,3.356325
4.6448164,5.377122,5.0788527,5.1009197,5.2476616
5.064982,5.3743944,5.2326965,4.862731,5.264376
1.6979735,1.5254542,1.5569941,1.5935135,1.6532285
4.212335,3.9297516,3.749643,3.5347538,3.806696
5.0654345,5.068946,5.205228,4.8893747,5.36436
5.4838486,5.638588,5.359667,5.443076,4.745661
5.352004,5.35787,5.2982144,5.2449374,5.2260103
2.8215892,2.688368,2.8310432,2.9561732,2.8860934
5.4985743,5.4793215,5.4674864,5.7616987,5.4205394
1.2570716,1.3100623,1.2215645,2.2413402,1.3699516
5.3352942,5.044257,5.267516,4.829669,5.342999
8.242585,4.3212395,8.364546,8.229411,4.0655813
5.2278156,5.4666452,5.410758,5.4528074,5.0588818
6.276705,5.978031,4.3656597,6.8377438,5.1304665
6.638958,6.2784743,6.531567,6.268283,7.939889
4.913362,4.9584026,5.0464697,4.897986,5.0561757
4.839699,5.0224094,4.8636518,4.9009132,4.870226
2.4422314,1.813662,2.4291658,2.0650644,2.7696695
5.053266,4.996728,5.211153,5.017279,5.0218782
2.438351,1.7227283,2.4174986,2.4062648,2.5067222
5.0091915,5.107189,4.9954367,5.1137433,5.0616136
2.4822547,1.6239582,2.3954713,1.5769671,1.7955902
2.5869064,8.059341,7.1628757,8.073466,8.006436
6.8220263,4.4527464,5.3399796,5.4941983,4.794748
5.138466,5.40975,5.2449636,5.3522224,5.2739697
4.8286343,5.0611506,4.965231,5.093124,4.8235044
2.9889822,3.0336103,3.570438,3.411883,2.9595768
7.055452,5.4210906,7.1970425,6.91408,6.930143
4.7047687,5.0980043,5.0721855,4.7756906,5.370756
4.7002726,5.433258,4.814996,5.128284,4.9298735
7.981209,8.012721,7.7678714,8.101761,7.774863
7.039583,6.7618365,6.817344,6.7731414,6.9392433
2.7172372,2.7968388,2.8159657,2.9669929,2.8051388
5.160529,5.080296,4.6037445,4.650307,5.000923
6.4250865,6.396452,6.5915737,6.4236526,6.394899
6.7074175,7.275991,6.0689206,6.2962084,7.096775
5.3467207,4.965804,5.169488,5.0970097,5.257065
1.7076974,1.6978809,1.8235635,1.6775008,1.8462627
2.5700853,2.2315066,2.543258,2.5173676,2.8294218
1.5423118,1.4156383,1.2994651,1.4555306,2.4869733
5.248146,4.853115,5.203735,4.9138556,5.081634
5.392254,5.5340195,5.5847836,5.3959603,5.9274597
4.0742264,4.0085983,4.1133657,4.205569,4.066954
3.6898715,3.5946212,3.558389,3.7365468,3.6463878
1.5353627,3.2244897,1.5364887,3.1856453,3.1127884
4.4321027,4.432346,4.044267,4.3713226,4.3906837
2.4273548,2.4852538,3.1145291,1.0573041,3.0972192
6.3139143,6.4574213,6.4194403,6.4297442,6.4746923
2.6411045,1.4080963,2.4795015,2.4783652,1.5605156
4.6956663,4.799732,5.139082,5.1158314,4.726679
2.0492043,2.727335,2.178405,2.1550252,1.4382274
1.4356831,1.5449198,1.4653637,2.366495,1.4819614
3.4883187,2.7112043,3.446277,1.3810482,3.2565885
3.3789706,3.242435,6.1509657,6.0105042,3.3638215
4.7341795,4.871802,5.056735,4.966967,5.3151994
5.1305914,5.1249595,5.3009667,5.273054,5.021307
2.3289976,3.0239809,2.531776,2.8823504,2.475307
6.512833,6.5614758,6.4288006,5.7621927,6.3243084
5.544281,3.3580332,5.418265,5.444512,3.719348
4.773843,4.971632,5.100333,4.6429768,4.7526813
5.3494306,4.96591,5.0985785,4.658849,4.909192
5.2310095,5.1914825,4.7476263,4.977211,5.083291
2.9878838,2.173809,2.1488907,2.0247896,2.0778282
4.8599105,4.8417983,4.794553,4.7845917,5.051738
1.2994329,1.5180905,2.5370393,1.2422557,1.5015576
2.8039846,2.689099,2.736121,2.5601082,3.019823
4.477449,4.166022,3.7334156,4.360865,4.0504694
5.4311543,5.5229664,5.5125694,5.42077,5.323675
2.123145,2.054812,3.0241745,3.026632,2.1256912
2.5912268,2.5876713,2.5521,2.5211005,2.5708027
6.5097675,6.086088,6.0023174,6.0213323,6.174519
8.87523,7.322926,9.48478,8.157135,8.95434
7.2089205,6.046654,6.90637,6.839327,6.775269
5.4104805,5.454742,5.580648,8.161078,4.992825
2.530932,2.6107972,2.1804986,3.4006705,2.3379297
6.955565,7.3100004,7.1764746,6.8521833,7.258563
6.6873627,6.593521,6.570321,6.4079223,6.684046
7.650144,7.4962716,7.360666,7.6719856,7.7893195
3.1314995,2.3481271,2.540829,2.3541691,3.16837
2.292087,2.1596732,2.2459998,3.0721283,2.6679525
4.9343886,4.8118005,5.0876083,4.937131,4.918386
7.0494614,7.45996,7.7847166,7.0345297,7.0259194
4.6973257,5.005063,5.210244,4.759461,4.9882026
2.101779,2.3056467,2.2566078,3.1476276,2.1991513
4.571595,4.0815754,3.9990444,4.1808925,4.662834
6.390989,6.4283137,6.2801,6.5045843,6.348967
5.082902,4.898719,5.039626,5.164583,5.059678
2.8024714,2.003116,1.8505064,1.9465739,1.9919468
6.3839307,6.289132,6.3752,6.6063805,6.2995853
3.8185093,3.5656064,3.9723856,6.11969,3.9072688
5.095336,5.0013504,5.052476,5.019618,5.006877
6.6075335,6.1601315,6.2991786,6.4490905,6.39466
6.4943485,6.5240364,6.619444,6.5332546,6.525922
5.223258,4.867699,4.8306923,5.3497763,5.043429
3.9447117,3.8144553,3.3491848,3.3581612,3.2304544
3.6475685,4.0777555,3.998442,4.085345,3.7765853
6.0871754,7.383588,6.8315997,6.931234,6.656709
5.4205513,5.099065,5.31166,4.9359136,5.193323
2.6596603,2.071206,2.7858264,1.7072967,2.7549691
3.597783,3.8118126,3.9181643,3.3374376,3.582203
6.055409,5.950428,4.8450017,6.3528037,5.781101
6.319401,6.753991,6.4352427,6.6433754,6.887965
6.128575,5.6840653,4.73707,5.106113,5.2830715
2.885116,2.6507256,2.8483217,2.5831022,2.6916022
4.277309,3.722657,4.259541,4.2275753,4.0581946
7.0212345,6.2276,7.261227,7.143623,7.156813
7.398077,6.5957766,7.5488997,6.583634,7.1753464
5.182945,5.172788,5.5931354,5.815741,5.6061378
5.178459,5.2077045,4.8052154,5.307225,4.324298
