output_0,output_1,output_2,output_3,output_4
3.5535457,3.2654998,3.4030142,3.7908287,3.6955936
3.9100223,4.443831,3.9962833,3.7932734,6.109663
2.8185134,2.8474026,3.3005502,2.7464697,2.3624659
4.9832034,5.2573056,5.4235897,4.788652,5.039595
5.892967,2.9924855,5.7844586,2.7961948,2.6416783
7.8704267,6.246615,5.445287,7.852854,5.648907
3.7736115,3.5107021,6.0767126,6.2584496,6.0691757
8.3006735,8.804852,8.598161,9.16477,8.655012
2.3901165,2.621234,2.4109719,2.319029,2.0701008
5.561018,3.1019912,3.3468833,2.9598148,3.1022234
2.792818,2.5385506,3.747303,2.7401137,2.2119184
4.1175075,7.893592,4.0187755,4.3274574,3.9879885
5.7405696,5.1359534,4.5938964,5.3775787,8.217379
3.600507,6.869536,4.8087773,3.9822066,6.6855297
4.1535153,4.4168367,4.27375,4.234009,4.3415804
4.0472107,3.8336449,4.1081553,4.0345616,4.6193953
7.855566,8.0046,7.6302977,8.490694,7.723068
5.684832,5.8533845,6.004069,6.5786095,5.755455
1.9359125,1.8356577,1.7777028,1.898013,1.8261836
3.3064167,3.2754197,1.6319126,3.38028,3.3699665
2.6375585,1.8642242,3.1657474,3.2042859,3.1382675
4.5112443,3.9499748,4.2809014,4.0472627,3.9228983
6.886704,6.7499228,6.826817,1.3781259,1.5072199
6.9216146,7.0940294,7.0399985,6.7267637,7.023232
5.8116684,5.33947,4.5538406,5.32782,6.483143
7.4284973,7.183442,7.5031624,7.47329,7.3665996
2.3135197,1.8153356,2.2525513,2.0863807,1.7637053
3.0963333,5.68346,5.30828,5.623852,5.4189487
4.860841,2.7587674,3.6843781,4.833051,3.608775
3.695479,3.7693834,3.5711303,3.2893934,3.1259181
5.3661785,5.3269086,4.3358088,4.20648,4.384576
7.316104,7.327043,7.1995287,7.242319,7.3876934
1.59616,5.021547,1.7059757,4.9893813,1.7101504
1.5676919,1.6543645,1.6655388,1.7897689,1.6753868
4.972511,2.8646715,4.943582,5.0798187,2.9876385
2.5061436,3.7120767,2.606009,2.6663594,2.4081054
5.307633,5.160932,5.4373045,5.446432,5.403144
3.2543216,3.342264,3.3035088,3.323115,3.2452512
6.6338263,2.9265413,3.17541,3.1214743,6.5535393
